DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
09X297,X297,Morris Academy for Collaborative Studies,High School,Bronx,409,7.003,0.502,7.505,25.577,0.908,0.81,0.464,0.262,69.0,64.3,0.489,0.584,0.017,0.269,0.694,0.017,0.003,84,84,84,90,101,371,7,284,110,7,1,6.6,2.543,2.251,0.967,0.852,0.608,0.171,0.279,0.156,0.814,0.676,0.392,Medium Graduation,2015-16,Morris Academy for Collaborative Studies,1110 BOSTON ROAD,10456,40.827642,-73.904473,Morrisania-Melrose                                                         
09X324,X324,Bronx Early College Academy for Teaching & Learnin,High School,Bronx,272,7.476,0.633,8.11,22.733,0.865,1.0,0.81,1.0,77.8,71.4,0.656,0.744,0.044,0.268,0.662,0.015,0.011,63,63,63,61,78,235,4,180,73,12,3,7.9,3.065,2.873,0.966,0.9,0.736,0.074,0.154,0.107,0.776,0.583,0.264,High Graduation,2015-16,Bronx Early College Academy for Teaching & Learnin,250 EAST 164 STREET,10456,40.828696,-73.917668,East Concourse-Concourse Village                                           
09X327,X327,Comprehensive Model School Project M.S. 327,High School,Bronx,433,9.313,0.938,10.251,20.97,0.905,0.876,0.694,0.463,74.0,73.0,0.721,0.814,0.002,0.206,0.778,0.014,0.0,121,121,121,104,113,392,6,337,89,1,0,4.9,2.882,3.092,0.964,0.855,0.487,0.115,0.293,0.152,0.822,0.769,0.513,Medium Graduation,2015-16,Comprehensive Model School Project M.S. 327,1501 JEROME AVENUE,10452,40.842495,-73.91608199999999,West Concourse                                                             
09X329,X329,DreamYard Preparatory School,High School,Bronx,271,4.643,0.293,4.936,25.732,0.949,0.714,0.429,0.317,68.2,60.7,0.307,0.564,0.007,0.273,0.694,0.018,0.008,63,63,63,75,78,257,5,188,74,2,2,7.2,2.498,2.272,0.965,0.846,0.523,0.225,0.247,0.269,0.856,0.652,0.477,Low Graduation,2015-16,DreamYard Preparatory School,240 EAST 172 STREET,10457,40.840422,-73.91091,East Concourse-Concourse Village                                           
09X365,X365,Academy for Language and Technology,High School,Bronx,324,4.548,0.4,4.948,22.234,0.986,0.986,0.397,0.973,72.0,68.8,0.613,0.842,0.0,0.0,1.0,0.0,0.0,73,73,73,75,76,319,0,324,0,0,0,5.7,1.929,2.117,0.975,0.89,0.641,0.731,0.071,0.645,0.821,0.32,0.359,High Graduation,2015-16,Academy for Language and Technology,1700 MACOMBS ROAD,10453,40.849623,-73.91606999999999,University Heights-Morris Heights                                          
09X403,X403,Bronx International High School,High School,Bronx,418,6.585,0.745,7.329,25.276,0.989,0.755,0.404,0.367,66.2,66.49,0.404,0.667,0.029,0.127,0.809,0.031,0.004,94,94,94,99,81,413,13,338,53,12,2,13.1,1.843,1.965,0.936,0.796,0.451,0.914,0.038,0.383,0.804,0.774,0.549,Low Graduation,2015-16,Bronx International High School,1110 BOSTON ROAD,10456,40.827642,-73.904473,Morrisania-Melrose                                                         
09X404,X404,School for Excellence,High School,Bronx,326,5.533,0.389,5.922,25.839,0.924,0.617,0.287,0.101,68.3,61.1,0.488,0.432,0.009,0.285,0.681,0.012,0.013,94,94,94,84,95,301,4,222,93,3,4,2.7,2.325,2.04,0.963,0.737,0.347,0.27,0.279,0.221,0.862,0.957,0.653,Low Graduation,2015-16,School for Excellence,1110 BOSTON ROAD,10456,40.827642,-73.904473,Morrisania-Melrose                                                         
09X412,X412,Bronx High School of Business,High School,Bronx,275,6.887,0.466,7.354,32.386,0.963,0.672,0.414,0.172,61.7,62.6,0.5,0.556,0.022,0.2,0.738,0.022,0.018,58,58,58,66,54,265,6,203,55,6,5,2.7,2.362,2.093,0.957,0.83,0.577,0.382,0.229,0.269,0.873,0.577,0.423,Low Graduation,2015-16,Bronx High School of Business,240 EAST 172 STREET,10457,40.840422,-73.91091,East Concourse-Concourse Village                                           
09X413,X413,Bronx High School for Medical Science,High School,Bronx,267,7.217,0.371,7.588,23.763,0.89,0.851,0.672,0.552,75.6,73.6,0.647,0.833,0.071,0.243,0.637,0.026,0.023,67,67,67,68,66,238,7,170,65,19,6,17.1,3.055,2.981,0.974,0.925,0.788,0.079,0.199,0.071,0.809,0.706,0.212,Medium Graduation,2015-16,Bronx High School for Medical Science,240 EAST 172 STREET,10457,40.840422,-73.91091,East Concourse-Concourse Village                                           
09X505,X505,"Bronx School for Law, Government and Justice",High School,Bronx,477,10.685,0.725,11.409,21.786,0.852,0.822,0.581,0.337,75.0,62.3,0.803,0.773,0.015,0.245,0.723,0.013,0.004,129,129,129,132,119,406,6,345,117,7,2,4.0,3.101,2.762,0.962,0.895,0.652,0.082,0.205,0.13,0.746,0.7,0.348,Medium Graduation,2015-16,"Bronx School for Law, Government and Justice",244 EAST 163 STREET,10451,40.827607,-73.918681,East Concourse-Concourse Village                                           
09X517,X517,Frederick Douglass Academy III Secondary School,High School,Bronx,408,6.225,0.398,6.623,22.672,0.923,0.72,0.411,0.262,67.1,63.4,0.393,0.59,0.012,0.434,0.522,0.017,0.015,107,107,107,112,105,377,7,213,177,5,6,3.7,2.349,2.075,0.973,0.766,0.395,0.203,0.257,0.265,0.846,0.625,0.605,Low Graduation,2015-16,Frederick Douglass Academy III Secondary School,3630 THIRD AVENUE,10456,40.833511,-73.90449,Claremont-Bathgate                                                         
