DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
13K527,K527,Urban Assembly Institute of Math and Science for Y,High School,Brooklyn,295,6.185,0.386,6.571,20.223,0.799,0.9,0.557,0.179,72.0,63.7,0.779,0.783,0.088,0.586,0.166,0.139,0.021,70,70,70,68,69,236,41,49,173,26,6,8.9,2.786,2.5,0.97,0.849,0.493,0.081,0.173,0.068,0.702,0.639,0.507,Medium Graduation,2015-16,Urban Assembly Institute of Math and Science for Y,283 ADAMS STREET,11201,40.694682,-73.988853,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
13K595,K595,Bedford Academy High School,High School,Brooklyn,363,4.606,0.353,4.959,20.487,0.615,0.986,0.847,0.764,84.6,79.0,0.766,0.855,0.039,0.785,0.085,0.036,0.055,72,72,72,94,83,223,13,31,285,14,20,9.2,3.332,3.286,0.974,0.921,0.803,0.011,0.138,0.061,0.49,0.952,0.197,High Graduation,2015-16,Bedford Academy High School,1119 BEDFORD AVENUE,11216,40.68538,-73.954302,Bedford                                                                    
13K605,K605,George Westinghouse Career and Technical Education,High School,Brooklyn,776,12.714,0.951,13.664,23.712,0.748,0.924,0.486,0.566,66.6,65.5,0.485,0.54,0.04,0.683,0.235,0.017,0.025,144,144,144,132,113,580,13,182,530,31,19,1.9,2.753,2.63,0.97,0.884,0.632,0.023,0.174,0.095,0.642,0.623,0.368,Medium Graduation,2015-16,George Westinghouse Career and Technical Education,105 TECH PLACE,11201,40.694926,-73.98601500000001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
13K670,K670,Benjamin Banneker Academy,High School,Brooklyn,810,9.631,0.575,10.206,19.045,0.666,0.984,0.873,0.77,77.1,71.4,0.762,0.817,0.053,0.799,0.111,0.009,0.028,189,189,189,181,240,539,7,90,647,43,23,3.0,3.256,3.168,0.964,0.889,0.633,0.015,0.146,0.078,0.535,0.796,0.367,High Graduation,2015-16,Benjamin Banneker Academy,71-77 CLINTON AVENUE,11205,40.695332,-73.969243,Clinton Hill                                                               
13K674,K674,"City Polytechnic High School of Engineering, Archi",High School,Brooklyn,426,5.865,0.431,6.296,21.419,0.633,0.855,0.723,0.518,72.3,62.7,0.655,0.819,0.054,0.655,0.214,0.061,0.016,83,83,83,110,105,270,26,91,279,23,7,1.2,2.98,2.998,0.97,0.909,0.725,0.016,0.19,0.063,0.509,0.759,0.275,Medium Graduation,2015-16,"City Polytechnic High School of Engineering, Archi",105 TECH PLACE,11201,40.694926,-73.98601500000001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
14K071,K071,Juan Morel Campos Secondary School,High School,Brooklyn,329,12.214,1.027,13.241,33.641,0.917,0.604,0.24,0.151,68.0,61.8,0.434,0.454,0.015,0.14,0.769,0.064,0.012,96,96,96,76,97,302,21,253,46,5,4,2.7,2.334,2.137,0.961,0.866,0.601,0.304,0.307,0.191,0.842,0.767,0.399,Low Graduation,2015-16,Juan Morel Campos Secondary School,215 HEYWARD STREET,11206,40.703624,-73.95314599999999,Williamsburg                                                               
14K449,K449,"Brooklyn Latin School, The",High School,Brooklyn,698,7.078,0.018,7.095,18.193,0.555,0.974,0.974,1.0,89.2,88.3,0.922,0.977,0.547,0.122,0.12,0.13,0.081,156,156,156,192,173,387,91,84,85,382,57,6.1,3.954,4.182,0.968,0.936,0.745,0.0,0.023,0.044,0.43,1.0,0.255,High Graduation,2015-16,"Brooklyn Latin School, The",223 GRAHAM AVENUE,11206,40.709941,-73.943641,East Williamsburg                                                          
14K454,K454,The Williamsburg High School of Art and Technology,High School,Brooklyn,302,5.158,0.432,5.59,26.427,0.827,0.817,0.31,0.282,64.6,61.8,0.634,0.386,0.033,0.225,0.675,0.053,0.014,71,71,71,41,57,250,16,204,68,10,4,7.5,2.582,2.417,0.966,0.851,0.516,0.238,0.252,0.185,0.715,0.833,0.484,Medium Graduation,2015-16,Green School: An Academy for Environmental Careers,223 GRAHAM AVENUE,11206,40.709941,-73.943641,East Williamsburg                                                          
14K474,K474,PROGRESS High School for Professional Careers,High School,Brooklyn,674,10.514,0.933,11.447,23.836,0.882,0.762,0.288,0.268,60.0,59.9,0.481,0.474,0.006,0.273,0.688,0.012,0.021,223,222,222,216,211,594,8,464,184,4,14,0.5,2.582,2.339,0.96,0.781,0.472,0.206,0.212,0.141,0.777,0.705,0.528,Low Graduation,2015-16,PROGRESS High School for Professional Careers,850 GRAND STREET,11211,40.712184,-73.939722,Bushwick South                                                             
14K477,K477,East Williamsburg Scholars Academy,High School,Brooklyn,304,4.812,0.451,5.263,26.685,0.885,0.741,0.282,0.447,61.4,59.2,0.27,0.376,0.007,0.355,0.615,0.01,0.013,85,85,85,111,141,269,3,187,108,2,4,5.4,2.508,2.22,0.963,0.73,0.398,0.329,0.217,0.207,0.727,0.957,0.602,Low Graduation,2015-16,School for Legal Studies,850 GRAND STREET,11211,40.712184,-73.939722,Bushwick South                                                             
14K478,K478,"The High School for Enterprise, Business and Techn",High School,Brooklyn,831,11.402,0.807,12.209,21.545,0.827,0.808,0.367,0.452,70.7,60.4,0.551,0.649,0.058,0.303,0.613,0.019,0.007,177,177,177,214,228,687,16,509,252,48,6,8.9,2.731,2.561,0.959,0.85,0.58,0.119,0.162,0.111,0.732,0.939,0.42,Medium Graduation,2015-16,"The High School for Enterprise, Business and Techn",850 GRAND STREET,11211,40.712184,-73.939722,Bushwick South                                                             
14K488,K488,Brooklyn Preparatory High School,High School,Brooklyn,527,6.623,0.415,7.038,20.611,0.757,0.928,0.647,0.353,71.9,66.6,0.767,0.814,0.009,0.433,0.528,0.015,0.015,139,139,139,120,118,399,8,278,228,5,8,9.0,2.929,2.718,0.964,0.838,0.535,0.021,0.188,0.112,0.645,0.743,0.465,Medium Graduation,2015-16,Brooklyn Preparatory High School,257 NORTH  6 STREET,11211,40.715073,-73.95475400000001,North Side-South Side                                                      
14K558,K558,Williamsburg High School for Architecture and Desi,High School,Brooklyn,580,7.839,0.767,8.606,21.906,0.714,0.976,0.829,0.959,76.8,69.5,0.748,0.687,0.022,0.284,0.61,0.064,0.02,123,123,123,131,131,414,37,354,165,13,12,10.6,2.843,2.692,0.981,0.924,0.824,0.031,0.222,0.088,0.602,0.857,0.176,High Graduation,2015-16,Williamsburg High School for Architecture and Desi,257 NORTH  6 STREET,11211,40.715073,-73.95475400000001,North Side-South Side                                                      
14K561,K561,Williamsburg Preparatory School,High School,Brooklyn,682,8.355,0.54,8.895,19.971,0.791,0.96,0.76,0.523,75.9,71.9,0.747,0.821,0.031,0.157,0.704,0.092,0.016,151,150,150,158,168,539,63,480,107,21,11,8.6,2.871,2.663,0.972,0.903,0.708,0.047,0.211,0.072,0.692,0.911,0.292,High Graduation,2015-16,Williamsburg Preparatory School,257 NORTH  6 STREET,11211,40.715073,-73.95475400000001,North Side-South Side                                                      
14K586,K586,Lyons Community School,High School,Brooklyn,298,6.933,0.67,7.604,24.607,0.898,0.724,0.553,0.132,69.6,66.49,0.554,0.593,0.0,0.302,0.658,0.034,0.006,76,76,76,92,81,268,10,196,90,0,2,12.1,2.449,2.141,0.969,0.788,0.467,0.128,0.242,0.164,0.829,0.786,0.533,Low Graduation,2015-16,Lyons Community School,223 GRAHAM AVENUE,11206,40.709941,-73.943641,East Williamsburg                                                          
14K610,K610,Automotive High School,High School,Brooklyn,329,8.639,0.566,9.205,52.241,0.808,0.7,0.325,0.188,64.2,59.6,0.483,0.372,0.03,0.492,0.419,0.027,0.032,80,80,80,116,43,266,9,138,162,10,11,1.0,2.437,2.29,0.953,0.835,0.528,0.064,0.34,0.109,0.726,0.811,0.472,Low Graduation,2015-16,Automotive High School,50 BEDFORD AVENUE,11222,40.721981,-73.953281,North Side-South Side                                                      
14K614,K614,Young Women's Leadership School of Brooklyn,High School,Brooklyn,225,5.763,0.337,6.101,21.029,0.797,0.968,0.516,0.5,75.2,65.6,0.824,0.941,0.044,0.427,0.427,0.067,0.035,31,31,31,68,51,179,15,96,96,10,8,2.9,2.828,2.584,0.962,0.86,0.576,0.111,0.156,0.111,0.711,0.742,0.424,High Graduation,2015-16,Young Women's Leadership School of Brooklyn,325 BUSHWICK AVENUE,11206,40.705203999999995,-73.93940699999999,Bushwick South                                                             
14K685,K685,El Puente Academy for Peace and Justice,High School,Brooklyn,224,4.029,0.232,4.261,26.312,0.892,0.786,0.696,0.429,71.0,66.49,0.537,0.456,0.004,0.049,0.924,0.004,0.019,56,56,56,54,57,200,1,207,11,1,4,8.0,2.458,2.203,0.982,0.817,0.339,0.183,0.263,0.143,0.835,0.813,0.661,Low Graduation,2015-16,El Puente Academy for Peace and Justice,250 HOOPER STREET,11211,40.705898,-73.955611,Williamsburg                                                               
15K429,K429,Digital Arts and Cinema Technology High School,High School,Brooklyn,246,4.39,0.306,4.696,25.997,0.761,0.977,0.488,0.302,75.7,69.8,0.692,0.639,0.037,0.545,0.35,0.053,0.015,43,43,43,26,36,187,13,86,134,9,4,5.8,2.854,2.669,0.977,0.906,0.68,0.004,0.215,0.049,0.667,0.7,0.32,High Graduation,2015-16,Brooklyn School for Global Studies,284 BALTIC STREET,11201,40.685419,-73.993351,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
15K448,K448,Brooklyn Collaborative Studies,High School,Brooklyn,389,11.164,0.744,11.908,24.289,0.708,0.914,0.839,0.957,70.3,66.49,0.626,0.798,0.031,0.393,0.478,0.075,0.023,93,93,93,91,89,275,29,186,153,12,9,5.0,2.979,2.629,0.966,0.863,0.529,0.062,0.262,0.069,0.578,0.918,0.471,Medium Graduation,2015-16,Brooklyn Secondary School for Collaborative Studie,610 HENRY STREET,11231,40.68007,-74.001377,Carroll Gardens-Columbia Street-Red Hook                                   
15K462,K462,John Jay School for Law,High School,Brooklyn,436,5.697,0.328,6.025,20.003,0.756,0.907,0.613,0.307,77.3,59.0,0.638,0.773,0.023,0.626,0.294,0.028,0.029,75,75,75,80,88,330,12,128,273,10,13,2.1,2.847,2.549,0.972,0.843,0.534,0.032,0.188,0.115,0.661,0.576,0.466,Medium Graduation,2015-16,Secondary School for Law,237 7 AVENUE,11215,40.669629,-73.979287,Park Slope-Gowanus                                                         
15K463,K463,Secondary School for Journalism,High School,Brooklyn,268,3.313,0.254,3.567,24.873,0.805,0.667,0.421,0.14,63.9,58.2,0.508,0.577,0.067,0.459,0.373,0.086,0.015,57,57,57,61,52,216,23,100,123,18,4,0.6,2.77,2.429,0.952,0.813,0.45,0.142,0.201,0.116,0.69,0.933,0.55,Low Graduation,2015-16,Secondary School for Journalism,237 7 AVENUE,11215,40.669629,-73.979287,Park Slope-Gowanus                                                         
15K464,K464,Park Slope Collegiate,High School,Brooklyn,440,9.38,0.525,9.906,21.22,0.706,0.857,0.602,0.898,75.4,64.9,0.603,0.565,0.043,0.382,0.457,0.093,0.025,98,98,98,78,69,311,41,201,168,19,11,15.1,2.8,2.635,0.963,0.845,0.526,0.073,0.207,0.068,0.611,0.736,0.474,Medium Graduation,2015-16,Park Slope Collegiate,237 7 AVENUE,11215,40.669629,-73.979287,Park Slope-Gowanus                                                         
15K497,K497,The Boerum Hill School for International Studies,High School,Brooklyn,286,9.177,0.125,9.302,20.077,0.674,0.725,0.373,0.324,65.6,61.7,0.484,0.697,0.056,0.406,0.29,0.182,0.066,51,51,51,64,76,193,52,83,116,16,19,2.0,2.786,2.577,0.963,0.813,0.534,0.108,0.22,0.087,0.577,0.528,0.466,Low Graduation,2015-16,School for International Studies,284 BALTIC STREET,11201,40.685419,-73.993351,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
15K519,K519,Cobble Hill School of American Studies,High School,Brooklyn,582,8.656,0.767,9.423,23.745,0.829,0.869,0.414,0.669,62.9,58.9,0.647,0.574,0.034,0.62,0.29,0.027,0.029,145,145,145,139,108,482,16,169,361,20,17,8.9,2.775,2.406,0.964,0.802,0.57,0.113,0.189,0.162,0.729,0.595,0.43,Medium Graduation,2015-16,Cobble Hill School of American Studies,347 BALTIC STREET,11201,40.684523999999996,-73.990993,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
15K592,K592,Khalil Gibran International Academy,High School,Brooklyn,226,4.466,0.235,4.701,23.707,0.861,0.561,0.333,0.273,57.3,60.6,0.63,0.5,0.177,0.358,0.08,0.314,0.071,66,66,66,73,52,195,71,18,81,40,16,7.9,2.601,2.519,0.965,0.831,0.502,0.372,0.181,0.119,0.792,0.6,0.498,Low Graduation,2015-16,Khalil Gibran International Academy,362 SCHERMERHORN STREET,11217,40.686499,-73.979649,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
15K656,K656,Brooklyn High School of the Arts,High School,Brooklyn,939,12.338,0.524,12.862,21.526,0.658,0.914,0.675,0.556,76.5,67.1,0.681,0.77,0.034,0.653,0.213,0.048,0.052,197,197,197,185,200,618,45,200,613,32,49,3.0,3.149,2.808,0.966,0.892,0.656,0.011,0.176,0.073,0.534,0.723,0.344,Medium Graduation,2015-16,Brooklyn High School of the Arts,345 DEAN STREET,11217,40.683559,-73.98026999999999,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
15K667,K667,Sunset Park High School,High School,Brooklyn,1216,16.866,1.22,18.087,21.937,0.863,0.826,0.484,0.486,70.5,62.9,0.641,0.648,0.099,0.075,0.74,0.081,0.005,287,287,287,304,267,1049,98,900,91,120,6,4.9,2.658,2.545,0.956,0.85,0.574,0.219,0.204,0.086,0.754,0.704,0.426,Medium Graduation,2015-16,Sunset Park High School,153 35TH STREET,11232,40.65571,-74.005197,Sunset Park West                                                           
15K684,K684,Millennium Brooklyn HS,High School,Brooklyn,675,11.936,0.051,11.988,24.433,0.399,0.987,0.969,0.896,92.9,84.9,0.89,0.945,0.127,0.166,0.197,0.444,0.066,159,159,159,164,165,269,300,133,112,86,45,4.0,3.802,3.847,0.97,0.958,0.919,0.003,0.151,0.016,0.289,0.852,0.081,High Graduation,2015-16,Millennium Brooklyn HS,237 7 AVENUE,11215,40.669629,-73.979287,Park Slope-Gowanus                                                         
16K455,K455,Boys and Girls High School,High School,Brooklyn,439,9.883,0.832,10.715,32.186,0.863,0.753,0.326,0.382,69.6,56.2,0.353,0.389,0.014,0.82,0.114,0.021,0.031,89,89,89,85,126,379,9,50,360,6,14,3.0,2.467,2.233,0.963,0.816,0.557,0.062,0.285,0.153,0.781,0.765,0.443,Low Graduation,2015-16,Boys and Girls High School,1700 FULTON STREET,11213,40.67944,-73.932407,Crown Heights North                                                        
16K498,K498,Brooklyn High School for Law and Technology,High School,Brooklyn,589,7.331,0.452,7.783,21.086,0.814,0.794,0.381,0.202,71.7,63.2,0.679,0.583,0.039,0.633,0.287,0.019,0.022,126,126,126,140,163,479,11,169,373,23,13,4.0,2.704,2.479,0.967,0.808,0.528,0.061,0.221,0.136,0.723,0.703,0.472,Low Graduation,2015-16,Brooklyn High School for Law and Technology,1396 BROADWAY,11221,40.688831,-73.920906,Stuyvesant Heights                                                         
16K688,K688,The Brooklyn Academy of Global Finance,High School,Brooklyn,105,2.528,0.145,2.673,30.758,0.919,0.739,0.13,0.043,55.4,55.8,0.273,0.371,0.076,0.714,0.162,0.029,0.019,23,23,23,44,35,96,3,17,75,8,2,6.9,2.399,2.137,0.954,0.849,0.56,0.143,0.267,0.2,0.867,0.636,0.44,Low Graduation,2015-16,The Brooklyn Academy of Global Finance,125 STUYVESANT AVENUE,11221,40.691274,-73.933697,Stuyvesant Heights                                                         
16K765,K765,Nelson Mandela High School,High School,Brooklyn,252,3.718,0.184,3.903,23.142,0.85,0.806,0.239,0.06,67.5,62.8,0.667,0.698,0.016,0.829,0.107,0.008,0.04,67,67,67,72,1,214,2,27,209,4,10,5.1,2.454,2.213,0.97,0.735,0.289,0.008,0.317,0.179,0.746,0.882,0.711,Medium Graduation,2015-16,Nelson Mandela High School,1700 FULTON STREET,11213,40.67944,-73.932407,Crown Heights North                                                        
17K122,K122,Pathways in Technology Early College High School (,High School,Brooklyn,581,8.101,0.572,8.673,21.81,0.659,0.767,0.647,0.603,64.9,66.5,0.734,0.805,0.017,0.824,0.119,0.009,0.031,116,116,116,109,87,383,5,69,479,10,18,8.1,2.845,2.653,0.969,0.911,0.785,0.022,0.174,0.081,0.535,0.853,0.215,Low Graduation,2015-16,Pathways in Technology Early College High School (,150 ALBANY AVENUE,11213,40.675612,-73.938843,Crown Heights North                                                        
17K382,K382,Academy for College Preparation and Career Explora,High School,Brooklyn,230,5.702,0.405,6.107,21.215,0.789,0.794,0.397,0.183,63.3,62.5,0.516,0.547,0.0,0.83,0.1,0.022,0.048,63,63,63,64,64,181,5,23,191,0,11,2.5,2.581,2.253,0.991,0.852,0.575,0.178,0.17,0.161,0.665,0.773,0.425,Low Graduation,2015-16,Academy for College Preparation and Career Explora,911 FLATBUSH AVENUE,11226,40.649786999999996,-73.95855,Erasmus                                                                    
17K408,K408,Academy of Hospitality and Tourism,High School,Brooklyn,196,3.934,0.233,4.167,25.447,0.846,0.914,0.314,0.586,72.5,63.8,0.83,0.545,0.005,0.816,0.138,0.036,0.005,35,35,35,53,55,166,7,27,160,1,1,3.4,2.586,2.28,0.984,0.84,0.616,0.204,0.214,0.153,0.73,0.6,0.384,Medium Graduation,2015-16,Academy of Hospitality and Tourism,911 FLATBUSH AVENUE,11226,40.649786999999996,-73.95855,Erasmus                                                                    
17K524,K524,International High School at Prospect Heights,High School,Brooklyn,368,5.747,0.374,6.121,22.33,0.954,0.567,0.221,0.808,53.2,58.8,0.49,0.538,0.163,0.236,0.497,0.084,0.02,104,104,104,104,93,351,31,183,87,60,7,9.4,1.922,2.06,0.976,0.881,0.703,0.878,0.052,0.228,0.774,0.793,0.297,Low Graduation,2015-16,International High School at Prospect Heights,883 CLASSON AVENUE,11225,40.670349,-73.96169499999999,Crown Heights South                                                        
17K528,K528,The High School for Global Citizenship,High School,Brooklyn,213,3.344,0.18,3.523,25.822,0.778,0.838,0.378,0.432,65.2,67.3,0.574,0.508,0.042,0.728,0.188,0.028,0.014,37,37,37,47,59,166,6,40,155,9,3,9.0,2.708,2.542,0.956,0.863,0.566,0.155,0.164,0.169,0.648,0.462,0.434,Medium Graduation,2015-16,The High School for Global Citizenship,883 CLASSON AVENUE,11225,40.670349,-73.96169499999999,Crown Heights South                                                        
17K531,K531,"School for Human Rights, The",High School,Brooklyn,330,6.6,0.82,7.42,28.056,0.759,0.827,0.413,0.389,70.9,63.5,0.672,0.638,0.021,0.87,0.085,0.012,0.012,104,104,104,119,58,250,4,28,287,7,4,12.1,2.71,2.358,0.969,0.89,0.718,0.082,0.191,0.127,0.636,1.0,0.282,Medium Graduation,2015-16,"School for Human Rights, The",600 KINGSTON AVENUE,11203,40.658893,-73.942458,Prospect Lefferts Gardens-Wingate                                          
17K537,K537,High School for Youth and Community Development at,High School,Brooklyn,467,7.336,0.482,7.818,22.826,0.783,0.828,0.333,0.157,62.7,62.4,0.6,0.563,0.039,0.784,0.143,0.024,0.01,99,99,99,125,96,366,11,67,366,18,5,14.4,2.607,2.28,0.946,0.861,0.618,0.088,0.255,0.161,0.662,0.783,0.382,Medium Graduation,2015-16,High School for Youth and Community Development at,911 FLATBUSH AVENUE,11226,40.649786999999996,-73.95855,Erasmus                                                                    
17K539,K539,High School for Service & Learning at Erasmus,High School,Brooklyn,297,4.961,0.352,5.314,22.924,0.824,0.785,0.456,0.146,66.4,60.0,0.512,0.627,0.03,0.761,0.165,0.027,0.017,79,79,79,123,83,245,8,49,226,9,5,3.1,2.649,2.343,0.974,0.839,0.592,0.148,0.215,0.104,0.704,0.7,0.408,Low Graduation,2015-16,High School for Service & Learning at Erasmus,911 FLATBUSH AVENUE,11226,40.649786999999996,-73.95855,Erasmus                                                                    
17K543,K543,"Science, Technology and Research Early College Hig",High School,Brooklyn,356,6.772,0.473,7.245,19.752,0.57,1.0,0.911,0.922,75.2,70.0,0.764,0.941,0.039,0.795,0.126,0.011,0.029,90,90,90,72,85,203,4,45,283,14,10,11.0,3.38,3.38,0.986,0.964,0.911,0.011,0.135,0.042,0.455,0.788,0.089,High Graduation,2015-16,"Science, Technology and Research Early College Hig",911 FLATBUSH AVENUE,11226,40.649786999999996,-73.95855,Erasmus                                                                    
17K546,K546,High School for Public Service: Heroes of Tomorrow,High School,Brooklyn,462,6.205,0.478,6.683,21.968,0.729,0.876,0.635,0.466,79.4,64.5,0.862,0.935,0.037,0.771,0.158,0.013,0.021,105,104,104,116,93,337,6,73,356,17,10,6.5,3.14,2.877,0.967,0.922,0.792,0.015,0.175,0.104,0.621,0.793,0.208,Medium Graduation,2015-16,High School for Public Service: Heroes  of Tomorro,600 KINGSTON AVENUE,11203,40.658893,-73.942458,Prospect Lefferts Gardens-Wingate                                          
17K547,K547,Brooklyn Academy of Science and the Environment,High School,Brooklyn,382,5.024,0.462,5.486,22.042,0.761,0.744,0.567,0.204,72.3,62.8,0.448,0.716,0.039,0.804,0.115,0.031,0.011,121,120,120,87,95,291,12,44,307,15,4,2.1,2.724,2.603,0.978,0.904,0.753,0.058,0.162,0.131,0.654,0.952,0.247,Low Graduation,2015-16,Brooklyn Academy of Science and the Environment,883 CLASSON AVENUE,11225,40.670349,-73.96169499999999,Crown Heights South                                                        
17K548,K548,Brooklyn School for Music & Theatre,High School,Brooklyn,296,4.12,0.443,4.563,23.089,0.821,0.791,0.239,0.097,69.5,60.6,0.487,0.598,0.003,0.777,0.199,0.017,0.004,67,67,67,78,82,243,5,59,230,1,1,12.0,2.631,2.275,0.952,0.835,0.542,0.027,0.223,0.199,0.764,0.682,0.458,Low Graduation,2015-16,Brooklyn School for Music & Theatre,883 CLASSON AVENUE,11225,40.670349,-73.96169499999999,Crown Heights South                                                        
17K590,K590,Medgar Evers College Preparatory School,High School,Brooklyn,897,12.423,0.776,13.199,16.726,0.554,0.959,0.918,0.89,81.5,67.4,0.832,0.883,0.025,0.871,0.056,0.01,0.038,196,196,196,208,240,497,9,50,781,22,34,17.9,3.64,3.628,0.965,0.932,0.789,0.006,0.088,0.064,0.415,0.855,0.211,High Graduation,2015-16,Medgar Evers College Preparatory School,1186 CARROLL STREET,11225,40.667195,-73.951167,Crown Heights South                                                        
17K600,K600,Clara Barton High School,High School,Brooklyn,1200,18.422,1.925,20.348,23.977,0.715,0.806,0.461,0.5,71.0,64.2,0.57,0.681,0.014,0.892,0.073,0.009,0.012,258,258,258,284,285,858,11,88,1070,17,14,12.5,2.847,2.555,0.957,0.87,0.629,0.078,0.181,0.108,0.592,0.857,0.371,Medium Graduation,2015-16,Clara Barton High School,901 CLASSON AVENUE,11225,40.669567,-73.961962,Crown Heights South                                                        
17K745,K745,Brooklyn Institute for Liberal Arts,High School,Brooklyn,415,5.175,0.339,5.514,19.865,0.712,0.918,0.583,0.333,75.8,72.9,0.671,0.729,0.017,0.87,0.104,0.002,0.007,85,84,84,79,85,295,1,43,361,7,3,7.1,2.803,2.519,0.976,0.911,0.739,0.046,0.207,0.149,0.576,0.407,0.261,Medium Graduation,2015-16,Brooklyn Institute for Liberal Arts,600 KINGSTON AVENUE,11203,40.658893,-73.942458,Prospect Lefferts Gardens-Wingate                                          
17K751,K751,Academy for Health Careers,High School,Brooklyn,301,5.366,0.34,5.706,23.657,0.817,0.8,0.333,0.2,74.0,68.3,0.598,0.675,0.047,0.771,0.14,0.017,0.025,75,75,75,87,80,246,5,42,232,14,8,9.1,2.798,2.503,0.992,0.864,0.54,0.037,0.143,0.156,0.724,0.926,0.46,Low Graduation,2015-16,Academy for Health Careers,150 ALBANY AVENUE,11213,40.675612,-73.938843,Crown Heights North                                                        
18K563,K563,It Takes a Village Academy,High School,Brooklyn,659,9.806,0.773,10.579,21.326,0.764,0.866,0.605,0.637,73.0,59.5,0.603,0.669,0.018,0.891,0.067,0.011,0.013,157,157,157,151,166,503,7,44,587,12,9,1.6,2.826,2.635,0.975,0.9,0.699,0.176,0.152,0.096,0.624,0.74,0.301,Medium Graduation,2015-16,It Takes a Village Academy,5800 TILDEN AVENUE,11203,40.648657,-73.92217099999999,Rugby-Remsen Village                                                       
18K566,K566,Brooklyn Generation School,High School,Brooklyn,189,4.275,0.329,4.604,32.833,0.747,0.766,0.383,0.117,66.3,59.2,0.467,0.623,0.005,0.81,0.122,0.048,0.015,47,47,47,45,61,141,9,23,153,1,3,1.6,2.584,2.162,0.968,0.899,0.77,0.122,0.238,0.116,0.64,0.95,0.23,Low Graduation,2015-16,Brooklyn Generation School,6565 FLATLANDS AVENUE,11236,40.633285,-73.916735,Canarsie                                                                   
18K567,K567,Brooklyn Theatre Arts High School,High School,Brooklyn,350,4.483,0.312,4.795,20.373,0.793,0.846,0.333,0.115,66.5,58.6,0.557,0.586,0.023,0.837,0.103,0.02,0.017,78,78,78,79,99,278,7,36,293,8,6,6.9,2.59,2.29,0.955,0.81,0.435,0.023,0.174,0.109,0.706,0.722,0.565,Medium Graduation,2015-16,Brooklyn Theatre Arts High School,6565 FLATLANDS AVENUE,11236,40.633285,-73.916735,Canarsie                                                                   
18K569,K569,Kurt Hahn Expeditionary Learning School,High School,Brooklyn,294,5.401,0.322,5.723,23.025,0.754,0.753,0.494,0.264,66.5,66.49,0.559,0.657,0.007,0.891,0.065,0.017,0.02,89,89,89,102,70,222,5,19,262,2,6,4.9,2.512,2.193,0.96,0.87,0.598,0.071,0.289,0.116,0.66,0.808,0.402,Low Graduation,2015-16,Kurt Hahn Expeditionary Learning School,5800 TILDEN AVENUE,11203,40.648657,-73.92217099999999,Rugby-Remsen Village                                                       
18K576,K576,Victory Collegiate High School,High School,Brooklyn,341,5.739,0.317,6.056,24.229,0.772,0.785,0.291,0.12,67.6,61.1,0.632,0.545,0.018,0.824,0.106,0.041,0.011,79,79,79,106,66,263,14,36,281,6,4,3.3,2.55,2.319,0.966,0.854,0.477,0.067,0.255,0.106,0.683,0.75,0.523,Low Graduation,2015-16,Victory Collegiate High School,6565 FLATLANDS AVENUE,11236,40.633285,-73.916735,Canarsie                                                                   
18K617,K617,High School for Innovation in Advertising and Medi,High School,Brooklyn,240,4.283,0.24,4.523,26.338,0.721,0.836,0.377,0.164,64.0,57.4,0.403,0.515,0.017,0.808,0.117,0.046,0.012,61,61,61,62,66,173,11,28,194,4,3,11.1,2.541,2.391,0.974,0.828,0.451,0.092,0.225,0.075,0.629,0.5,0.549,Medium Graduation,2015-16,High School for Innovation in Advertising and Medi,1600 ROCKAWAY PARKWAY,11236,40.641474,-73.89825400000001,Canarsie                                                                   
